"Time","188e2a5d583c","26f29effeddc","4b86a2021b77","8f96fa542f8b"
1592334346200,,,,
1592334346400,,,,
1592334346600,,,,
1592334346800,,,,
1592334347000,97248,95136,94400,94400
1592334347200,,,,
1592334347400,,,,
1592334347600,,,,
1592334347800,,,,
1592334348000,,,,
1592334348200,,,,
1592334348400,,,,
1592334348600,,,,
1592334348800,,,,
1592334349000,,,,
1592334349200,,,,
1592334349400,,,,
1592334349600,,,,
1592334349800,,,,
1592334350000,,,,
1592334350200,,,,
1592334350400,,,,
1592334350600,,,,
1592334350800,,,,
1592334351000,,,,
1592334351200,,,,
1592334351400,,,,
1592334351600,,,,
1592334351800,,,,
1592334352000,,76512,75200,74560
1592334352200,,,,
1592334352400,,,,
1592334352600,,,,
1592334352800,,,,
1592334353000,78144,,,
1592334353200,,,,
1592334353400,,,,
1592334353600,,,,
1592334353800,,,,
1592334354000,,,,
1592334354200,,,,
1592334354400,,,,
1592334354600,,,,
1592334354800,,,,
1592334355000,,,,
1592334355200,,,,
1592334355400,,,,
1592334355600,,,,
1592334355800,,,,
1592334356000,,,,
1592334356200,,,,
1592334356400,,,,
1592334356600,,,,
1592334356800,,,,
1592334357000,,84032,,
1592334357200,,,,
1592334357400,,,,
1592334357600,,,,
1592334357800,,,,
1592334358000,86304,,82720,82720
1592334358200,,,,
1592334358400,,,,
1592334358600,,,,
1592334358800,,,,
1592334359000,,,,
1592334359200,,,,
1592334359400,,,,
1592334359600,,,,
1592334359800,,,,
1592334360000,,,,
1592334360200,,,,
1592334360400,,,,
1592334360600,,,,
1592334360800,,,,
1592334361000,,,,
1592334361200,,,,
1592334361400,,,,
1592334361600,,,,
1592334361800,,,,
1592334362000,,,,
1592334362200,,,,
1592334362400,,,,
1592334362600,,,,
1592334362800,,,,
1592334363000,95968,93056,92384,93024
1592334363200,,,,
1592334363400,,,,
1592334363600,,,,
1592334363800,,,,
1592334364000,,,,
1592334364200,,,,
1592334364400,,,,
1592334364600,,,,
1592334364800,,,,
1592334365000,,,,
1592334365200,,,,
1592334365400,,,,
1592334365600,,,,
1592334365800,,,,
1592334366000,,,,
1592334366200,,,,
1592334366400,,,,
1592334366600,,,,
1592334366800,,,,
1592334367000,,,,
1592334367200,,,,
1592334367400,,,,
1592334367600,,,,
1592334367800,,,,
1592334368000,102944,100032,99360,99360
1592334368200,,,,
1592334368400,,,,
