Time,172.22.0.11,172.22.0.12,172.22.0.13,172.22.0.14,172.22.0.15,172.22.0.16,172.22.0.17,172.22.0.18,172.22.0.19,172.22.0.20,172.22.0.21,172.22.0.22,172.22.0.23,172.22.0.24,172.22.0.25,172.22.0.26,172.22.0.27,172.22.0.28,172.22.0.29,172.22.0.30,172.22.0.31,172.22.0.32,172.22.0.33,172.22.0.34,172.22.0.35,172.22.0.36,172.22.0.37,172.22.0.38,172.22.0.39,172.22.0.40,172.22.0.41,172.22.0.42,172.22.0.43,172.22.0.44,172.22.0.45,172.22.0.46,172.22.0.47,172.22.0.48,172.22.0.49,172.22.0.50,172.22.0.51,172.22.0.52,172.22.0.53,172.22.0.54,172.22.0.55,172.22.0.56,172.22.0.57,172.22.0.58,172.22.0.59,172.22.0.60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
40,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
55,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,3,3,3,1,2,3,2,1,3,3,1,2,2,2,1,2,1,2,2,3,3,2,1,2,1
60,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,3,1,1,2,3,2,1,3,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2
65,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,3,1,1,2,3,2,2,3,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2
70,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,2,2,3,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2
75,1,2,1,2,1,2,2,2,2,2,2,2,1,3,2,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,2,3,3,2,1,2,2,1,2,3,2,2,1,3,2,2,2,2
80,1,2,21,2,1,20,2,2,2,2,2,4,1,3,2,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,1,3,3,1,1,2,2,7,1,3,2,2,1,3,1,2,2,2
85,1,2,21,2,1,20,2,2,2,2,1,4,2,2,2,14,2,1,1,3,1,2,7,1,3,1,3,3,10,3,8,4,1,3,3,9,8,10,3,7,1,1,2,4,1,1,2,7,1,11
90,10,2,21,16,1,20,11,2,2,2,1,1,2,2,2,14,2,4,1,3,1,2,7,1,3,1,3,3,10,3,8,4,1,3,3,9,8,10,3,7,1,1,1,4,1,1,2,7,1,11
95,10,2,21,16,1,20,11,2,2,2,1,1,2,2,2,1,2,4,1,3,1,1,7,3,1,1,3,1,3,3,8,1,1,3,1,9,3,10,3,7,1,4,1,1,1,1,3,7,2,11
100,1,2,21,16,1,20,11,2,2,2,1,1,2,2,2,1,2,4,1,3,1,1,7,3,1,1,3,1,3,3,8,1,3,3,1,9,3,10,3,7,1,4,1,1,1,1,3,7,2,11
105,1,2,21,16,1,20,11,2,2,2,1,1,2,2,2,1,2,4,1,3,1,1,7,3,4,1,1,3,3,3,8,1,3,3,1,9,2,10,3,7,1,4,1,2,1,1,3,7,2,11
110,4,2,21,16,1,20,11,2,2,2,1,4,2,2,2,1,2,4,1,3,1,1,7,3,4,1,1,3,3,3,8,1,3,2,1,9,2,10,3,7,1,4,1,2,1,1,3,7,2,11
115,4,2,21,16,1,20,11,2,2,2,1,4,2,2,2,2,2,4,1,3,1,2,7,3,4,1,1,3,3,3,8,1,3,2,2,9,2,10,3,7,1,3,1,2,1,1,3,7,2,11
